LANGUAGE,English,French,Italian,Spanish,German,Comment,,,,,
STRC_01,,

STRCN_00,Training,Training,Training,Training,Training, Name of the mission
STRM_Reastdead1,"ALPHA BLACK TO PAPA BEAR. THE HOUSE HAVE BEEN CAPTURED. OVER.",alpha
STRM_Reastdead2,"ALPHA TO PAPA BEAR. OBJECTIVE TWO COMPLETED. OVER.",alpha
STRM_Reastdead3,"ALPHA TO PAPA BEAR. MOUNTAIN CLEARED. OVER.",alpha

STRM_Rhqreply1,"PAPA BEAR TO ALPHA BLACK. COPY THAT. OVER.",hq
STRM_Rhqreply2,"PAPA BEAR TO ALPHA. GOOD WORK. PROCEED WITH THE MISSION. OVER.",hq
STRM_Rhqreply3,"PAPA BEAR TO ALPHA. ROGER. YOUR MISSION IS ACCOMPLISHED. OVER.",hq

STRD_Rmissname,"Ghost Guard",missionname
STRL_Rload,"Assaulting the enemy",loadname
